mean,-0.04471149334009856
u_quadlimbdark__,[-0.20195075  0.16375226]
sigma_log__,-1.1970520871603745
log_sigma_gp,0.5824669984097534
log_rho_gp,1.9807800535946625
log_ror,[-3.67588724 -3.61882547]
log_period,[0.9464591  2.92295538]
t0,[172.12734223 141.26256716]
log_dur,[-2.66954263 -2.33173898]
b_impact__,[-0.50426216  0.21703489]
u,[ 0.72536671 -0.05478248]
sigma,0.3020834162011431
ror,[0.02532692 0.02681415]
period,[ 2.57657012 18.59616502]
dur,[0.06928391 0.0971267 ]
b,[0.38607616 0.56890303]
rho_circ,[4.07223122 7.73637683]
