mean,-0.08127762385004747
u_quadlimbdark__,[-0.7085655  -0.62801739]
sigma_log__,-1.3028666604921109
log_sigma_gp,2.771799870182485
log_rho_gp,3.722873024561137
log_ror,[-3.57212817 -3.42391334]
log_period,[1.77702922 2.19564836]
t0,[172.18495867 175.68434464]
log_dur,[-2.33241387 -1.95892015]
b_impact__,[-0.52688472  2.38855579]
u,[0.39972491 0.17465814]
sigma,0.2717516556388497
ror,[0.028096   0.03258467]
period,[5.91226624 8.98582524]
dur,[0.09706117 0.14101061]
b,[0.38167424 0.9457964 ]
rho_circ,[3.43840099 0.14192718]
