mean,-0.009059033777951928
u_quadlimbdark__,[ 0.02359033 -0.0191835 ]
sigma_log__,-2.0170142847581354
log_sigma_gp,-1.2004234695242182
log_rho_gp,2.258096259774395
log_ror,[-4.21585656]
log_period,[3.70794245]
t0,[158.86425777]
log_dur,[-2.00406089]
b_impact__,[-0.12443272]
u,[0.70444252 0.00682206]
sigma,0.13305212839130406
ror,[0.01475967]
period,[40.76983424]
dur,[0.13478682]
b,[0.47585318]
rho_circ,[7.31384344]
