mean,-0.038760871689245746
u_quadlimbdark__,[-0.12712616  0.76111605]
sigma_log__,-2.245502241705017
log_sigma_gp,0.031408692643895446
log_rho_gp,2.703354971375755
log_ror,[-4.10136317 -4.25412554]
log_period,[2.15115954 2.32455788]
t0,[171.6275724  135.89032615]
log_dur,[-1.9914279  -2.98118636]
b_impact__,[-0.51418553 -0.11033674]
u,[ 0.932827   -0.24853087]
sigma,0.1058743525027614
ror,[0.0165501  0.01420551]
period,[ 8.59481869 10.22215971]
dur,[0.13650038 0.05073261]
b,[0.38040611 0.47915507]
rho_circ,[ 1.73035497 34.11981908]
