mean,0.1739497002059065
u_quadlimbdark__,[0.38554477 0.90349794]
sigma_log__,-1.450296286958244
log_sigma_gp,2.8930174798518045
log_rho_gp,3.3615236210616435
log_ror,[-3.83469325 -3.85475746]
log_period,[1.70058672 2.14741296]
t0,[352.84890595 355.13471532]
log_dur,[-2.79890782 -2.74943653]
b_impact__,[-0.01575765 -0.44852684]
u,[ 1.09810109 -0.32660272]
sigma,0.23450079827161627
ror,[0.02160797 0.02117874]
period,[5.47716002 8.5626777 ]
dur,[0.06087651 0.06396389]
b,[0.50677953 0.39796467]
rho_circ,[10.35052184 16.61010475]
