mean,-0.20242295340430744
u_quadlimbdark__,[0.18576226 0.21306546]
sigma_log__,-1.598973557260157
log_sigma_gp,1.051680612375804
log_rho_gp,2.824099674176077
log_ror,[-3.70473561]
log_period,[1.59358404]
t0,[174.30013303]
log_dur,[-2.5159588]
b_impact__,[-0.30672469]
u,[ 0.81757075 -0.07844459]
sigma,0.20210385960369087
ror,[0.02460672]
period,[4.92135568]
dur,[0.08078542]
b,[0.43434555]
rho_circ,[4.56098584]
