mean,0.21284733806118272
u_quadlimbdark__,[0.2076402  1.47314251]
sigma_log__,-1.1695904773862984
log_sigma_gp,2.348853986540204
log_rho_gp,3.305228076940572
log_ror,[-3.7474992  -4.02479468 -3.95599346 -3.90674396 -3.85503255]
log_period,[0.79349857 3.33059621 3.74104114 1.52985068 2.32223941]
t0,[170.14961511 178.72990964 139.04687746 135.04978502 137.92167005]
log_dur,[-2.59850474 -1.56122438 -1.12626138 -2.35953816 -2.27524687]
b_impact__,[ 0.47463479 -0.6618173  -0.39569599  0.4295823   0.05665404]
u,[ 1.20855683 -0.46577534]
sigma,0.31049406957566084
ror,[0.02357663 0.01786709 0.01913964 0.02010586 0.02117291]
period,[ 2.21111867 27.95500388 42.14184284  4.61748731 10.19848738]
dur,[0.07438472 0.20987894 0.32424322 0.09446384 0.10277153]
b,[0.63101469 0.34641223 0.41004764 0.61795353 0.52504598]
rho_circ,[1.74302226 1.61804168 0.61284065 1.79692732 3.85525727]
