mean,0.006466309061184807
u_quadlimbdark__,[-0.59985296 -0.47175879]
sigma_log__,-2.8047853091087047
log_sigma_gp,-2.3851416979992424
log_rho_gp,1.4455796282599924
log_ror,[-4.75064014 -4.68824078]
log_period,[1.95039782 2.61092949]
t0,[134.45107755 144.16621677]
log_dur,[-1.40216691 -1.14157187]
b_impact__,[-0.19120096  0.13954869]
u,[0.45742551 0.1378705 ]
sigma,0.06051976281975709
ror,[0.00864616 0.00920286]
period,[ 7.03148426 13.61169686]
dur,[0.24606319 0.3193167 ]
b,[0.4562559  0.53975264]
rho_circ,[0.21184447 0.1591005 ]
