mean,0.011696951887622624
u_quadlimbdark__,[-0.24725076 -0.19860331]
sigma_log__,-1.7990300969500173
log_sigma_gp,-2.327351621755626
log_rho_gp,1.5543553539444757
log_ror,[-4.20193924 -4.11580653]
log_period,[2.71170795 3.64507293]
t0,[144.57326171 143.29960842]
log_dur,[-1.59461607 -1.2934816 ]
b_impact__,[ 0.02271744 -0.11805287]
u,[0.59665192 0.06554163]
sigma,0.16545928989189174
ror,[0.01496653 0.01631278]
period,[15.05496671 38.28556499]
dur,[0.20298645 0.27431407]
b,[0.51324738 0.47819652]
rho_circ,[0.73862678 0.81647912]
