mean,0.007551636573910447
u_quadlimbdark__,[-0.94664541 -0.77567499]
sigma_log__,-2.065951661147861
log_sigma_gp,-1.153100452620505
log_rho_gp,2.314172624338199
log_ror,[-4.20555945 -4.36714511]
log_period,[1.71115255 2.81697646]
t0,[132.76114018 143.74668603]
log_dur,[-2.15313821 -2.17604259]
b_impact__,[-0.25768792 -0.20012129]
u,[0.33336991 0.19536439]
sigma,0.12669765993687002
ror,[0.01491244 0.01268741]
period,[ 5.53533756 16.72620172]
dur,[0.11611918 0.11348977]
b,[0.44243296 0.45584704]
rho_circ,[1.64971903 5.16430225]
