mean,-0.001561446123748947
u_quadlimbdark__,[-0.64388464 -0.50380979]
sigma_log__,-2.510726144418205
log_sigma_gp,-0.9358002018137193
log_rho_gp,0.22628146094329993
log_ror,[-4.40274686]
log_period,[1.9905414]
t0,[137.21885736]
log_dur,[-1.60502611]
b_impact__,[0.34555809]
u,[0.44205375 0.14477582]
sigma,0.0812092481831953
ror,[0.01224366]
period,[7.31949543]
dur,[0.20088431]
b,[0.59270917]
rho_circ,[0.30726042]
