mean,-0.5522010506417475
u_quadlimbdark__,[-0.2451917  -0.61332999]
sigma_log__,-1.465016562952898
log_sigma_gp,3.423058280636417
log_rho_gp,3.5538690683580647
log_ror,[-3.96894685 -3.92712711]
log_period,[1.77997841 2.50533095]
t0,[135.49565704 138.22198994]
log_dur,[-2.27081527 -1.95996893]
b_impact__,[-0.08911877  0.19319498]
u,[0.46552604 0.19705024]
sigma,0.2310741641751374
ror,[0.01889332 0.01970019]
period,[ 5.9297284 12.2476117]
dur,[0.10322799 0.1408628 ]
b,[0.48676104 0.55894772]
rho_circ,[2.36522805 1.66084368]
