mean,0.0007973982089898182
u_quadlimbdark__,[-0.30666034 -0.06789283]
sigma_log__,-3.238874691079423
log_sigma_gp,-2.4155625600100805
log_rho_gp,1.2270775695312712
log_ror,[-5.16554861]
log_period,[2.87923239]
t0,[134.39530501]
log_dur,[-2.43074793]
b_impact__,[0.02774563]
u,[0.62900517 0.022094  ]
sigma,0.03920799138582564
ror,[0.00570993]
period,[17.80060397]
dur,[0.08797101]
b,[0.50983053]
rho_circ,[10.39504402]
