mean,-0.1243194469598494
u_quadlimbdark__,[-1.06863919  0.02472128]
sigma_log__,-1.4847609831413033
log_sigma_gp,1.9107247388679467
log_rho_gp,3.03545461956128
log_ror,[-4.13928638]
log_period,[2.20992349]
t0,[133.97454479]
log_dur,[-1.66523902]
b_impact__,[0.09492621]
u,[ 0.51187985 -0.0062496 ]
sigma,0.22655648502487297
ror,[0.01593422]
period,[9.11501901]
dur,[0.18914544]
b,[0.53205872]
rho_circ,[0.53515444]
