mean,-0.0005466892268373783
u_quadlimbdark__,[-1.28657389 -0.15416445]
sigma_log__,-3.4697174631554213
log_sigma_gp,-2.9000529697147592
log_rho_gp,1.0764936941638792
log_ror,[-4.42116118 -4.4762726 ]
log_period,[3.23115632 3.86585113]
t0,[171.50708529 160.15998305]
log_dur,[-1.45220035 -2.10805464]
b_impact__,[0.49734175 3.39573884]
u,[0.42943426 0.03578964]
sigma,0.03112582361082415
ror,[0.01202027 0.01137574]
period,[25.30890518 47.74389122]
dur,[0.23405472 0.12147405]
b,[0.62930904 0.97857793]
rho_circ,[0.60026029 0.27133853]
