mean,-0.0018439476406712039
u_quadlimbdark__,[-0.61117205  0.29987994]
sigma_log__,-2.555817552188057
log_sigma_gp,-1.2602192482912098
log_rho_gp,0.03372367478918667
log_ror,[-3.90139404 -3.67032915]
log_period,[1.56402199 3.75878331]
t0,[124.06196593 146.06432226]
log_dur,[-2.18289851 -1.42029227]
b_impact__,[0.2734601  1.60156792]
u,[ 0.68139241 -0.08827194]
sigma,0.0776287405703233
ror,[0.02021371 0.02546809]
period,[ 4.77799971 42.89620282]
dur,[0.11271435 0.24164338]
b,[0.57942238 0.8534329 ]
rho_circ,[1.21330312 0.34126498]
