mean,0.00800928392437296
u_quadlimbdark__,[0.02086494 1.19466249]
sigma_log__,-2.4264580261631643
log_sigma_gp,-2.545060382784867
log_rho_gp,0.7444965553680171
log_ror,[-4.51433349 -4.40637718 -4.52268659]
log_period,[1.96472485 2.18818534 2.47640977]
t0,[135.99247891 140.07753056 133.34722381]
log_dur,[-1.66622938 -1.72469411 -2.14859877]
b_impact__,[-0.17811962 -0.31800138 -0.04233407]
u,[ 1.09116083 -0.38037532]
sigma,0.08834920962914149
ror,[0.0109509  0.01219929 0.01085981]
period,[ 7.1329497   8.91901345 11.89846942]
dur,[0.18895821 0.17822756 0.11664749]
b,[0.46057655 0.42630079 0.49473305]
rho_circ,[0.47302308 0.74608359 3.13580883]
