mean,3.521783541592096e-05
u_quadlimbdark__,[-1.01584795  0.08659308]
sigma_log__,-2.6045765919149404
log_sigma_gp,-1.8127558483073303
log_rho_gp,2.1044505529638813
log_ror,[-3.99218691]
log_period,[2.6654614]
t0,[138.20164999]
log_dur,[-1.60097877]
b_impact__,[1.19175138]
u,[ 0.53790328 -0.02230949]
sigma,0.07393443500876225
ror,[0.0184593]
period,[14.37458042]
dur,[0.201699]
b,[0.78121343]
rho_circ,[0.29970103]
