mean,-0.10403911644653148
u_quadlimbdark__,[0.02732643 0.35068711]
sigma_log__,-1.2103244015398695
log_sigma_gp,1.1172494172729688
log_rho_gp,2.891557735268546
log_ror,[-3.76406779]
log_period,[3.43583209]
t0,[147.56372155]
log_dur,[-1.93785552]
b_impact__,[-0.06891995]
u,[ 0.8354877  -0.12356694]
sigma,0.29810055946215686
ror,[0.02318922]
period,[31.05724427]
dur,[0.14401245]
b,[0.49397205]
rho_circ,[4.56496763]
