mean,-0.10278760335001767
u_quadlimbdark__,[1.62735218 2.23498043]
sigma_log__,-1.4507942870668504
log_sigma_gp,0.8509872268466147
log_rho_gp,2.5520852195380517
log_ror,[-4.10391703 -4.02926879]
log_period,[2.11690234 2.52680861]
t0,[139.74509906 139.42545077]
log_dur,[-1.75570326 -1.61064167]
b_impact__,[-0.25857793 -0.29633197]
u,[ 1.65172422 -0.73749963]
sigma,0.23438404592236298
ror,[0.01650789 0.01778733]
period,[ 8.3053704 12.5135069]
dur,[0.17278569 0.19975939]
b,[0.44290602 0.43403989]
rho_circ,[0.75506811 0.74879957]
