mean,0.030501930795012976
u_quadlimbdark__,[0.00398146 0.23581052]
sigma_log__,-1.4254767888962927
log_sigma_gp,-2.5664742075927522
log_rho_gp,1.7538495632982811
log_ror,[-3.83029023 -3.96353694]
log_period,[2.54272881 2.04506566]
t0,[134.80141533 138.92701997]
log_dur,[-2.01088851 -2.3839432 ]
b_impact__,[ 0.1098271  -0.16253051]
u,[ 0.79088023 -0.08306997]
sigma,0.24039381877638788
ror,[0.02170332 0.01899581]
period,[12.71431866  7.72966602]
dur,[0.13386968 0.09218635]
b,[0.53887617 0.46818433]
rho_circ,[2.1172066  4.46836255]
