mean,0.012795237332598476
u_quadlimbdark__,[-2.03821386 -0.60171508]
sigma_log__,-1.8636230571905505
log_sigma_gp,-2.599059912614364
log_rho_gp,1.550220702317256
log_ror,[-4.15326004]
log_period,[1.97311364]
t0,[136.0514176]
log_dur,[-1.96136868]
b_impact__,[-0.04719585]
u,[0.240321   0.09916204]
sigma,0.15510964001413846
ror,[0.01571311]
period,[7.19303819]
dur,[0.14066576]
b,[0.49587442]
rho_circ,[1.10223964]
