mean,0.0012427993006416482
u_quadlimbdark__,[0.01416922 1.31907009]
sigma_log__,-2.803356727522556
log_sigma_gp,-1.1057375840315438
log_rho_gp,0.13597152829699002
log_ror,[-4.25725494 -4.58546123]
log_period,[1.58787786 2.18995919]
t0,[133.64461948 133.39109674]
log_dur,[-1.87987002 -2.1840996 ]
b_impact__,[ 2.19772046 -0.54946471]
u,[ 1.11979826 -0.41019116]
sigma,0.06060628202367591
ror,[0.01416112 0.01019904]
period,[4.8933535  8.93484846]
dur,[0.15260994 0.11257905]
b,[0.91279026 0.36972134]
rho_circ,[0.07736914 3.17788231]
