mean,-0.14351027851881074
u_quadlimbdark__,[-0.2020676   0.25505462]
sigma_log__,-1.4675866743670838
log_sigma_gp,3.2692992250693127
log_rho_gp,3.637924930004981
log_ror,[-3.68646773 -3.81297312]
log_period,[1.3064357  1.74211417]
t0,[132.73602811 137.1226804 ]
log_dur,[-2.61624406 -2.67927744]
b_impact__,[-0.37466577 -0.33393008]
u,[ 0.75561713 -0.08505447]
sigma,0.23048104035191005
ror,[0.02506037 0.02208243]
period,[3.69298732 5.70940133]
dur,[0.07307682 0.06861271]
b,[0.41762404 0.42649934]
rho_circ,[4.75088852 8.65163783]
