mean,0.010007458481912763
u_quadlimbdark__,[-0.39740886  0.32369574]
sigma_log__,-2.4445695549085125
log_sigma_gp,-1.5079460909872062
log_rho_gp,0.37313281582958413
log_ror,[-4.5857077  -4.59517427]
log_period,[1.5598174  2.10333722]
t0,[137.69606014 138.99599976]
log_dur,[-1.63860652 -1.53158013]
b_impact__,[-0.30604632 -0.10819515]
u,[ 0.7357057  -0.10172223]
sigma,0.08676347377639441
ror,[0.01019653 0.01010046]
period,[4.75795239 8.19346776]
dur,[0.19425054 0.21619378]
b,[0.42840423 0.47775486]
rho_circ,[0.30739102 0.35094271]
