mean,0.004093678074408303
u_quadlimbdark__,[1.03630457 0.20011225]
sigma_log__,-3.3229652519141157
log_sigma_gp,-1.7578925664183154
log_rho_gp,1.236800784299594
log_ror,[-4.18260986 -4.61875922]
log_period,[2.05576792 2.23822255]
t0,[172.61489018 136.95106556]
log_dur,[-1.48792356 -2.32411456]
b_impact__,[ 3.3689886  -0.17521545]
u,[ 0.94482597 -0.08567736]
sigma,0.03604578828434732
ror,[0.01525863 0.00986503]
period,[7.81283524 9.37664994]
dur,[0.22584111 0.09787006]
b,[0.98147201 0.46080935]
rho_circ,[0.00860017 4.4320369 ]
