mean,-0.6430381441200638
u_quadlimbdark__,[-0.54564137  0.15538324]
sigma_log__,-1.8156067900204726
log_sigma_gp,2.512623145793692
log_rho_gp,3.3256230337632275
log_ror,[-3.84495578]
log_period,[2.10259579]
t0,[260.86889851]
log_dur,[-2.07469324]
b_impact__,[-0.02767828]
u,[ 0.65266669 -0.0469636 ]
sigma,0.16273912994434955
ror,[0.02138735]
period,[8.18739513]
dur,[0.12559495]
b,[0.50362656]
rho_circ,[1.77301238]
