mean,0.013771529062320922
u_quadlimbdark__,[-0.26330334  0.57059968]
sigma_log__,-1.843927309247463
log_sigma_gp,-2.3277441082389028
log_rho_gp,1.3567728108032542
log_ror,[-3.80949635 -3.94478411]
log_period,[3.48319254 4.08234088]
t0,[163.46087083 148.75408335]
log_dur,[-1.48288907 -1.49169645]
b_impact__,[-0.18208212  0.0392844 ]
u,[ 0.84233477 -0.1831293 ]
sigma,0.15819492413968872
ror,[0.02215934 0.01935539]
period,[32.56351655 59.28408437]
dur,[0.22698098 0.22499065]
b,[0.46467856 0.5196876 ]
rho_circ,[1.2825579  2.14187726]
