mean,0.012625892058852393
u_quadlimbdark__,[-0.42561807 -0.15177609]
sigma_log__,-1.715780484566654
log_sigma_gp,-0.9535766843092309
log_rho_gp,1.424421320865165
log_ror,[-4.18278084 -4.06639094]
log_period,[1.76457743 2.36853864]
t0,[132.09215849 131.54603617]
log_dur,[-2.01835078 -1.92789198]
b_impact__,[-0.34377921  0.34647887]
u,[0.58101403 0.04761398]
sigma,0.17982331660528492
ror,[0.01525602 0.01713913]
period,[ 5.83910442 10.68177101]
dur,[0.13287442 0.1454545 ]
b,[0.42122135 0.59580293]
rho_circ,[1.20192386 1.18916165]
