mean,-0.0064202920826667235
u_quadlimbdark__,[-1.02726381 -0.67382037]
sigma_log__,-2.8108706533757606
log_sigma_gp,-1.474977813430728
log_rho_gp,2.3251140062903164
log_ror,[-4.34449641]
log_period,[1.87149579]
t0,[136.00163487]
log_dur,[-2.35914193]
b_impact__,[-0.25420004]
u,[0.34671398 0.16672045]
sigma,0.06015259752470346
ror,[0.01297804]
period,[6.49800882]
dur,[0.09450128]
b,[0.44245868]
rho_circ,[3.56061292]
