mean,-0.0039253589173613105
u_quadlimbdark__,[-1.08173496 -0.49410816]
sigma_log__,-1.5480149512363235
log_sigma_gp,-1.0955149525456356
log_rho_gp,1.8754194437114828
log_ror,[-4.48082271 -4.26410927]
log_period,[1.75345488 2.52585129]
t0,[134.51383134 142.55648774]
log_dur,[-1.89133135 -1.80680922]
b_impact__,[-0.1044276  -0.00894655]
u,[0.38132699 0.1218408 ]
sigma,0.21266971485454725
ror,[0.01132409 0.01406439]
period,[ 5.77451854 12.50153318]
dur,[0.15087081 0.16417715]
b,[0.47928348 0.50476412]
rho_circ,[0.72908978 1.17455117]
